cluster;number_of_variants;height_external;width_external;volume;blast_resistance;luminance;conductive;full_cube;spawnable;movable
0;9.735930735930737;16.861471861471863;15.664502164502165;4083.896103896104;9.647186147186147;0.47186147186147187;1.5194805194805194;1.7445887445887447;3.909090909090909;2.787878787878788
1;1.75;15.75;15.75;3927.0;3600000.09375;0.125;1.75;1.75;3.125;0.0
2;16.63157894736842;12.578947368421053;10.210526315789474;1267.3333333333333;3.8105263157894735;0.7280701754385965;0.0;0.0;0.0;0.9649122807017544
3;13.008968609865471;0.4349775784753363;1.4304932735426008;21.672645739910315;17.95896860986547;0.5695067264573991;0.0;0.0;0.0;1.304932735426009
4;17.0;20.0;20.0;8000.0;2.0;0.0;2.0;1.0;5.0;1.0
5;17.541666666666668;15.6875;12.708333333333334;2525.375;45.30104166666666;0.2916666666666667;0.0;0.0;0.20833333333333334;1.375
6;1.0;0.0;0.0;0.0;3600000.25;12.5;0.0;0.0;0.0;0.0
7;46.397260273972606;11.520547945205479;12.424657534246576;1748.5479452054794;46.27123287671233;0.19863013698630136;0.0;0.0410958904109589;3.3972602739726026;2.5342465753424657
8;1.0;15.428571428571429;16.0;3949.714285714286;1200.0;3.457142857142857;1.7142857142857142;1.7142857142857142;4.142857142857143;0.8571428571428571
9;22.844036697247706;7.26605504587156;10.01834862385321;698.1100917431193;21.689449541284404;1.110091743119266;0.0;0.0;0.0;1.4954128440366972
10;56.61764705882353;12.235294117647058;15.897058823529411;3085.294117647059;58.38088235294118;0.10294117647058823;0.9117647058823529;0.9117647058823529;3.6470588235294117;2.838235294117647
11;2.5;9.5;12.0;1368.0;1200.0;0.0;0.0;0.0;0.0;2.25
